Title,Website Link,Description,Type,Location
Orchard Place,orchardplace.org,Comprehensive mental health services for children and teens in Des Moines area.,Counseling,"Des Moines, IA"
ChildServe,childserve.org,"Offers specialized care for children with developmental delays, including mental health support.",Residential Home,"Johnston, IA"
Tanager Place,tanagerplace.org,Provides therapeutic treatment and community-based preventive services for children.,Counseling,"Cedar Rapids, IA"
Eclipsis,ellipsisiowa.org,Specializes in holistic mental health services and resources for children and families in Iowa.,Counseling,"Statewide, IA"
YSS,yss.org,Delivers a wide range of support services including mental health counseling for youth.,Counseling,"Ames, IA"
Iowa Helpline,https://yourlifeiowa.org/,A 24/7 service providing confidential support and referrals for mental health and substance abuse.,Crisis Hotline,"Statewide, IA"
Seasons Center for Behavioral Health,seasonscenter.org,Provides comprehensive mental health services to children and families in Northwest Iowa.,Counseling,"Spencer, IA"
Broadlawns Mental Health Services,broadlawns.org,"Offers a variety of mental health services, including inpatient and outpatient care, in Polk County.",Counseling,"Des Moines, IA"
UnityPoint Health – Berryhill Center,unitypoint.org,"Provides mental health services, including therapy and medication management, in Fort Dodge.",Counseling,"Fort Dodge, IA"
Siouxland Mental Health Center,siouxlandmentalhealth.com,"Offers comprehensive mental health services, including counseling and support groups in Siouxland area.",Counseling,"Sioux City, IA"
Covenant Family Solutions,covenantfamilysolutions.com,"Specializes in mental health therapy, behavioral health intervention, and family counseling.",Counseling,Multiple Locations
24/7 Crisis Text Line,crisistextline.org,"Free, 24/7 support for those in crisis. Text 741741 from anywhere in the US to connect with a trained Crisis Counselor.",Crisis Hotline,Nationwide
Foundations 2 Crisis,https://foundation2.org/,"Offers crisis prevention and intervention services, including a crisis hotline and chat services.",Crisis Hotline,"Des Moines, IA"
Military OneSource (Non-Medical Counseling),militaryonesource.mil,"Provides up to 12 free, confidential sessions per issue for stress, relationships, and grief; sessions are not reported to Command.",Confidential Life Counseling,"Nationwide (CONUS, AK, HI, PR)"
Clive Behavioral Health,clivebehavioral.com,"Offers acute mental health services for youth, including Partial Hospitalization (PHP) and Intensive Outpatient (IOP) programs.",Adolescent Outpatient Mental Health,"Clive, IA"
Veterans/Military Crisis Line,"Not Provided (Dial 988, then Press 1)",Primary resource for anyone experiencing suicidal ideation or a severe emotional crisis; available 24/7.,Immediate Crisis Support,Nationwide
Amanda the Panda (EveryStep),everystep.org/amanda-the-panda,"Provides free grief and loss support for children, teens, and families through peer support groups and retreats.",Grief & Specialized Support,"Des Moines, IA (Statewide)"
Cedar Valley Hospice,cvhospice.org,"Offers grief counseling, support groups, and bereavement services specifically for youth and families.",Grief Support,"Waterloo, IA area"
Director of Psychological Health (DPH),Not Provided,Assigned to Joint Force Headquarters to coordinate psychological support and provide 24/7/365 access for assessments and referrals.,Military Psychological Support,54 Joint Force Headquarters
Employee Assistance Program (EAP),Not Provided (Phone: 800-450-1327),"Provides confidential access to professional counseling for help with emotional distress, marital difficulties, or substance abuse.",Employee Support,JTS Employees & Families
Military Family Life Consultant (MFLC),Not Provided,"Licensed clinical providers assisting with issues faced throughout the deployment cycle, such as stress management and reintegration.",Behavioral Health Support,Military Units/State Programs
AACAP (Military Family Resource Center),Not Provided,Provides expert guidance for parents on discussing deployment and anxiety with children and finding qualified professionals.,Specialized Mental Health Guidance,Nationwide
Kids Mental Health Foundation,Not Provided,Offers specific resources to help parents navigate their children's behavioral health and emotional wellness.,Health & Wellness Resource,Nationwide
Crisis Text Line,Not Provided (Text 838255),Offers immediate crisis support via text messaging for families in need.,Crisis Support,Nationwide
How can I access the Employee Assistance Program (EAP)?,,,,
What are the next steps for grief support in Iowa?,,,,
Tell me more about the 12 free counseling sessions.,,,,
